"id","discipline","item_name","current_section","current_severity","current_applies","current_problem_class","current_norm_reference","normative_status","applicable_document_types","applicable_stages","applicability_conditions","normative_basis","exact_clause_or_section","confidence","can_be_reported_as_missing","recommended_severity","do_not_report_if","example_valid_missing_case","example_invalid_missing_case","current_norm_issues"
"AR-19","AR","Решение по доступности для МГН","Recommended items","РЕКОМЕНДАТЕЛЬНОЕ","full_rd","missing_mandatory_section","СП 59.13330.2020","conditionally_mandatory","full_rd","ПД","ОДИ — самостоятельный раздел 10 ПП РФ 87. В АР достаточно проектных решений; целиком раздел в АР не входит.","СП 59.13330.2020; ПП РФ 87 раздел 10","","medium","true","ПРОВЕРИТЬ_ПО_СМЕЖНЫМ","Если в проекте есть отдельный том ОДИ — флагать «отсутствует МГН в АР» нельзя","","",""
"AR-20","AR","Звукоизоляционные характеристики ограждений","Recommended items","РЕКОМЕНДАТЕЛЬНОЕ","full_rd","missing_calculation_basis","СП 51.13330.2011","recommended","full_rd","ПД","","","","medium","true","РЕКОМЕНДАТЕЛЬНОЕ","если стадия документа — РД-марка (а не ПД-том), пункт может быть атрибутом раздела ПД и в данной марке отсутствовать обоснованно","","",""
"AR-21","AR","Расчёт КЕО (естественная освещённость) — для жилых МКД","Conditional items","ЭКСПЛУАТАЦИОННОЕ","full_rd","missing_mandatory_parameter","СП 52.13330.2016","conditionally_mandatory","full_rd","ПД","Только жилые МКД и определённые типы общественных зданий (детсады, школы)","СП 52.13330.2016","разд. 5","medium","true","ЭКСПЛУАТАЦИОННОЕ","нежилое и не социальное назначение","","",""
"AR-22","AR","Узлы крепления светопрозрачных конструкций — при наличии витражей","Conditional items","РЕКОМЕНДАТЕЛЬНОЕ","full_rd","missing_mandatory_section","СП 426.1325800.2020","conditionally_mandatory","full_rd","РД","Только при наличии витражей/СПФ-фасадов","","","medium","true","РЕКОМЕНДАТЕЛЬНОЕ","нет витражей в MD","","",""
"AR-23","AR","План кровли — при наличии эксплуатируемой кровли","Conditional items","ЭКСПЛУАТАЦИОННОЕ","full_rd","missing_diagram","ГОСТ 21.501-2018","conditionally_mandatory","full_rd","РД","Только при наличии эксплуатируемой кровли","","","medium","true","ЭКСПЛУАТАЦИОННОЕ","нет эксплуатируемой кровли","","",""
"EOM-01","EOM","Общие данные: категория надёжности, система заземления, U","Mandatory required sections / artifacts","ПРОВЕРИТЬ_ПО_СМЕЖНЫМ","full_rd","missing_mandatory_section","ПУЭ-7 п. 1.2.18; СП 256.1325800.2016 п. 5","conditionally_mandatory","full_rd","ПД; РД","В РД-марке ЭМ-К3 общие данные могут быть атрибутом тома ПД (ЭОМ).","СП 256.1325800.2016 (ред. 2024)","разд. 5","high","true","ПРОВЕРИТЬ_ПО_СМЕЖНЫМ","document_type=audit_comparison — out-of-scope для documentation-completeness, флагать только формальные атрибуты; document_type=specification_only — спецификация по определению без расчётов/схем/ПЗ; не флагать; если стадия документа — РД-марка (а не ПД-том), пункт может быть атрибутом раздела ПД и в данной марке отсутствовать обоснованно","","","ПУЭ-7 не зарегистрирован Минюстом — применяется добровольно; требуется параллельная ссылка на СП 256"
"EOM-02","EOM","""Защита от поражения электротоком и заземление"" + СУП","Mandatory required sections / artifacts","ПРОВЕРИТЬ_ПО_СМЕЖНЫМ","full_rd","missing_mandatory_section","ПУЭ-7 гл. 1.7; СП 256.1325800.2016","mandatory","full_rd","ПД; РД","","СП 256.1325800.2016; СП 437.1325800.2018","","high","true","ПРОВЕРИТЬ_ПО_СМЕЖНЫМ","document_type=audit_comparison — out-of-scope для documentation-completeness, флагать только формальные атрибуты; document_type=specification_only — спецификация по определению без расчётов/схем/ПЗ; не флагать","","","ПУЭ-7 — добровольное; основная ссылка должна быть на СП"
"EOM-03","EOM","Освещение: рабочее, аварийное (эвакуац. и резервное)","Mandatory required sections / artifacts","ПРОВЕРИТЬ_ПО_СМЕЖНЫМ","full_rd","missing_mandatory_section","СП 52.13330.2016, СП 256.1325800.2016","mandatory","full_rd","ПД; РД","","СП 256.1325800.2016 (разд. 7); СП 52.13330.2016","","high","true","ЭКСПЛУАТАЦИОННОЕ","","","",""
"EOM-04","EOM","Расчёт электрических нагрузок (электробаланс)","Mandatory required calculations","КРИТИЧЕСКОЕ","full_rd","missing_calculation_basis","СП 256.1325800.2016 п. 6.1","conditionally_mandatory","full_rd","ПД","Электробаланс — атрибут раздела 5.1 ПД. В РД-марке может ссылаться на ПД.","СП 256.1325800.2016","разд. 6 (расчётные нагрузки)","high","true","КРИТИЧЕСКОЕ","document_type=audit_comparison — out-of-scope для documentation-completeness, флагать только формальные атрибуты; document_type=specification_only — спецификация по определению без расчётов/схем/ПЗ; не флагать; если стадия документа — РД-марка (а не ПД-том), пункт может быть атрибутом раздела ПД и в данной марке отсутствовать обоснованно","ПД-том ЭОМ без электробаланса вообще → КРИТИЧЕСКОЕ","РД ЭМ-К3, в текстовой части ссылка «нагрузки см. ЭОМ-ПД» → drop",""
"EOM-05","EOM","Перечень электроприёмников с P_уст, K_с, P_расч","Mandatory required calculations","ЭКСПЛУАТАЦИОННОЕ","full_rd","missing_calculation_basis","СП 256.1325800.2016 п. 6.4","mandatory","full_rd","ПД; РД","","СП 256.1325800.2016","разд. 6 (нужна проверка точного п. 6.4)","medium","true","ЭКСПЛУАТАЦИОННОЕ","document_type=audit_comparison — out-of-scope для documentation-completeness, флагать только формальные атрибуты","","","Точный пункт «6.4» нужно сверить с действующей редакцией СП 256"
"EOM-06","EOM","Расчёт токов КЗ и проверка селективности","Mandatory required calculations","ЭКСПЛУАТАЦИОННОЕ","full_rd","missing_calculation_basis","ГОСТ Р 50571.5.52-2011, СП 256.1325800.2016","mandatory","full_rd","ПД","Расчёт КЗ — атрибут ПД. В РД-марке часто ссылается на ПД.","СП 256.1325800.2016; ГОСТ Р 50571.4.43; ГОСТ Р 50571.5.52","","high","true","ЭКСПЛУАТАЦИОННОЕ","document_type=audit_comparison — out-of-scope для documentation-completeness, флагать только формальные атрибуты; document_type=specification_only — спецификация по определению без расчётов/схем/ПЗ; не флагать; если стадия документа — РД-марка (а не ПД-том), пункт может быть атрибутом раздела ПД и в данной марке отсутствовать обоснованно","","",""
"EOM-07","EOM","Расчёт потерь напряжения в магистральных и групповых линиях","Mandatory required calculations","РЕКОМЕНДАТЕЛЬНОЕ","full_rd","missing_calculation_basis","СП 256.1325800.2016 п. 8.5","recommended","full_rd","ПД","","","","medium","true","РЕКОМЕНДАТЕЛЬНОЕ","document_type=audit_comparison — out-of-scope для documentation-completeness, флагать только формальные атрибуты; document_type=specification_only — спецификация по определению без расчётов/схем/ПЗ; не флагать","","","Пункт 8.5 в СП 256 — проверить номер"
"EOM-08","EOM","Кабельный журнал отходящих линий","Mandatory required specifications / schedules","ЭКСПЛУАТАЦИОННОЕ","full_rd|specification_only","missing_mandatory_schedule","ГОСТ 21.613-2014 п. 5.5","mandatory","full_rd; specification_only","РД","","ГОСТ 21.613-2014","п. 5.5","high","true","ЭКСПЛУАТАЦИОННОЕ","document_type=audit_comparison — out-of-scope для documentation-completeness, флагать только формальные атрибуты","","",""
"EOM-09","EOM","Спецификация оборудования, изделий и материалов","Mandatory required specifications / schedules","ЭКСПЛУАТАЦИОННОЕ","full_rd|specification_only","missing_mandatory_schedule","ГОСТ 21.110-2013","mandatory","full_rd; specification_only","РД","","ГОСТ 21.110-2013","","high","true","ЭКСПЛУАТАЦИОННОЕ","","","",""
"EOM-10","EOM","Однолинейная схема ВРУ/ГРЩ с аппаратами и кабелями","Mandatory required diagrams / schemes","ЭКСПЛУАТАЦИОННОЕ","full_rd","missing_diagram","ГОСТ 21.613-2014 п. 5.4","mandatory","full_rd","РД","","ГОСТ 21.613-2014","п. 5.4","high","true","ЭКСПЛУАТАЦИОННОЕ","document_type=audit_comparison — out-of-scope для documentation-completeness, флагать только формальные атрибуты; document_type=specification_only — спецификация по определению без расчётов/схем/ПЗ; не флагать","","",""
"EOM-11","EOM","Схемы ЩР/ЩО/ЩЭ с группами потребителей","Mandatory required diagrams / schemes","ЭКСПЛУАТАЦИОННОЕ","full_rd","missing_diagram","ГОСТ 21.613-2014","mandatory","full_rd","РД","","","","high","true","ЭКСПЛУАТАЦИОННОЕ","","","",""
"EOM-12","EOM","План этажей с трассировкой кабелей и щитами","Mandatory required diagrams / schemes","ЭКСПЛУАТАЦИОННОЕ","full_rd","missing_diagram","ГОСТ 21.613-2014","mandatory","full_rd","РД","","","","high","true","ЭКСПЛУАТАЦИОННОЕ","","","",""
"EOM-13","EOM","На каждом кабеле: сечение и марка (FRLS — для ПБ)","Mandatory required parameters","ЭКСПЛУАТАЦИОННОЕ","full_rd|specification_only","missing_mandatory_parameter","ГОСТ 31996-2012","mandatory","full_rd; specification_only","РД","","ГОСТ 31996-2012; ГОСТ 31565-2012 (исполнение FRLS/FRHF)","","high","true","ЭКСПЛУАТАЦИОННОЕ","document_type=audit_comparison — out-of-scope для documentation-completeness, флагать только формальные атрибуты","","",""
"EOM-14","EOM","На каждом АВ: I_ном, x-ка (B/C/D), I_откл","Mandatory required parameters","ЭКСПЛУАТАЦИОННОЕ","full_rd|specification_only","missing_mandatory_parameter","ГОСТ Р 50345-2010","mandatory","full_rd; specification_only","РД","","","","high","true","ЭКСПЛУАТАЦИОННОЕ","","","",""
"EOM-15","EOM","Длина участка кабеля (для расчёта потерь и КЗ)","Mandatory required parameters","ЭКСПЛУАТАЦИОННОЕ","full_rd|specification_only","missing_mandatory_parameter","","recommended","full_rd; specification_only","РД","Длина — частый параметр в кабельных журналах, но не всегда выводится в спецификации","","","medium","true","РЕКОМЕНДАТЕЛЬНОЕ","","","",""
"EOM-16","EOM","Перечень электроприёмников ОВ/ВК от смежников","Mandatory coordination requirements","ПРОВЕРИТЬ_ПО_СМЕЖНЫМ","full_rd","missing_mandatory_section","","recommended","full_rd","ПД; РД","Это задание смежнику, часто в виде отдельного письма","","","low","false","РЕКОМЕНДАТЕЛЬНОЕ","Cross-discipline coordination — обычно процесс-артефакт; флагать missing нельзя","","",""
"EOM-17","EOM","Координация АПС: управление ОВ и ППО при пожаре","Mandatory coordination requirements","ПРОВЕРИТЬ_ПО_СМЕЖНЫМ","full_rd","missing_mandatory_section","СП 7.13130.2013; СП 484.1311500.2020","conditionally_mandatory","full_rd","ПД; РД","Только если в проекте есть АПС и противодымная вентиляция","","","medium","false","ПРОВЕРИТЬ_ПО_СМЕЖНЫМ","Алгоритм управления — обычно в АПС, не в ЭОМ","","",""
"EOM-18","EOM","Закладные / отверстия от АР/КЖ для кабельных трасс","Mandatory coordination requirements","РЕКОМЕНДАТЕЛЬНОЕ","full_rd","missing_mandatory_section","","recommended","full_rd","РД","","","","low","false","РЕКОМЕНДАТЕЛЬНОЕ","","","",""
"EOM-19","EOM","Указания по приёмо-сдаточным испытаниям электроустановок","Mandatory testing / commissioning","РЕКОМЕНДАТЕЛЬНОЕ","full_rd","missing_mandatory_section","ПУЭ-7 гл. 1.8; ГОСТ Р 50571.16-2019; СП 76.13330.2016","recommended","full_rd","РД","Программа испытаний — часто отдельный документ для пусконаладки","","","medium","false","РЕКОМЕНДАТЕЛЬНОЕ","","","",""
"EOM-20","EOM","Расчёт компенсации реактивной мощности","Recommended items","РЕКОМЕНДАТЕЛЬНОЕ","full_rd","missing_calculation_basis","","conditionally_mandatory","full_rd","ПД","Только для объектов с большой нагрузкой двигателей / промышленных","","","medium","true","РЕКОМЕНДАТЕЛЬНОЕ","жилой МКД без больших двигательных нагрузок — компенсация необязательна","","",""
"EOM-21","EOM","Схема АВР для потребителей I категории","Recommended items","РЕКОМЕНДАТЕЛЬНОЕ","full_rd","missing_diagram","СП 256.1325800.2016","conditionally_mandatory","full_rd","ПД; РД","Только если в проекте заявлена I или I-особая категория","","","high","true","ЭКСПЛУАТАЦИОННОЕ","Категория не выше II — АВР не обязателен","","",""
"EOM-22","EOM","Молниезащита с расчётом класса","Conditional items","ЭКСПЛУАТАЦИОННОЕ","full_rd","missing_calculation_basis","СО-153-34.21.122-2003","conditionally_mandatory","full_rd","ПД","Только при попадании объекта в категории по СО-153","","","medium","true","ЭКСПЛУАТАЦИОННОЕ","низкое здание, низкая категория объекта","","",""
"EOM-23","EOM","Схема резервного питания (АВР/ДГУ/ИБП) для I категории","Conditional items","ЭКСПЛУАТАЦИОННОЕ","full_rd","missing_mandatory_section","ПУЭ-7 п. 1.2","conditionally_mandatory","full_rd","ПД; РД","Только при I/I-особой категории надёжности","","","high","true","ЭКСПЛУАТАЦИОННОЕ","","","",""
"EOM-24","EOM","УЗО для розеток (30 мА) и ванных (10 мА)","Conditional items","ЭКСПЛУАТАЦИОННОЕ","full_rd|specification_only","missing_mandatory_parameter","ПУЭ-7 п. 7.1.71-7.1.83","conditionally_mandatory","full_rd; specification_only","РД","Применяется к розеточным группам и санузлам","","","high","true","ЭКСПЛУАТАЦИОННОЕ","","","","Пункты ПУЭ-7 — добровольное применение; параллель: СП 256.1325800.2016 разд. 7"
"EOM-25","EOM","Координация с разделом ВТ — электропитание лифтов","Conditional items","ЭКСПЛУАТАЦИОННОЕ","full_rd","missing_mandatory_section","","conditionally_mandatory","full_rd","РД","Только при наличии лифтов","","","low","false","РЕКОМЕНДАТЕЛЬНОЕ","","","",""
"KJ-01","KJ","Общие данные: классы бетона, арматуры, F, W","Mandatory required sections / artifacts","ПРОВЕРИТЬ_ПО_СМЕЖНЫМ","full_rd","missing_mandatory_section","СП 63.13330.2018, разделы 6 и 10","mandatory","full_rd","ПД; РД","","СП 63.13330.2018","разд. 6, 10","high","true","ПРОВЕРИТЬ_ПО_СМЕЖНЫМ","document_type=audit_comparison — out-of-scope для documentation-completeness, флагать только формальные атрибуты; document_type=specification_only — спецификация по определению без расчётов/схем/ПЗ; не флагать","","",""
"KJ-02","KJ","Схема расположения элементов: фундаменты, плиты, балки","Mandatory required sections / artifacts","ПРОВЕРИТЬ_ПО_СМЕЖНЫМ","full_rd","missing_mandatory_section","ГОСТ 21.501-2018 п. 5.4","mandatory","full_rd","РД","","","","high","true","ЭКСПЛУАТАЦИОННОЕ","","","",""
"KJ-03","KJ","Антикоррозионная защита бетонных и арматурных конструкций","Mandatory required sections / artifacts","ПРОВЕРИТЬ_ПО_СМЕЖНЫМ","full_rd","missing_mandatory_section","СП 28.13330.2017","conditionally_mandatory","full_rd","ПД; РД","Подробно — только при агрессивной среде по СП 28; для нормальной среды достаточно ссылки","","","medium","true","ПРОВЕРИТЬ_ПО_СМЕЖНЫМ","","","",""
"KJ-04","KJ","Требования к производству работ (опалубка, бетонирование)","Mandatory required sections / artifacts","ПРОВЕРИТЬ_ПО_СМЕЖНЫМ","full_rd","missing_mandatory_section","СП 70.13330.2012","recommended","full_rd","РД","Часто оформляется отдельным ППР; в КЖ-марке может быть только ссылка","","","medium","false","РЕКОМЕНДАТЕЛЬНОЕ","","","",""
"KJ-05","KJ","Расчётная схема несущего каркаса с нагрузками","Mandatory required calculations","КРИТИЧЕСКОЕ","full_rd","missing_calculation_basis","СП 20.13330.2016, СП 63.13330.2018 п. 6","mandatory","full_rd","ПД","Расчётная схема — атрибут ПД","","","high","true","КРИТИЧЕСКОЕ","document_type=audit_comparison — out-of-scope для documentation-completeness, флагать только формальные атрибуты; document_type=specification_only — спецификация по определению без расчётов/схем/ПЗ; не флагать; если стадия документа — РД-марка (а не ПД-том), пункт может быть атрибутом раздела ПД и в данной марке отсутствовать обоснованно","","",""
"KJ-06","KJ","Сбор нагрузок (постоянные, временные, снег, ветер)","Mandatory required calculations","КРИТИЧЕСКОЕ","full_rd","missing_calculation_basis","СП 20.13330.2016","mandatory","full_rd","ПД","","","","high","true","КРИТИЧЕСКОЕ","document_type=audit_comparison — out-of-scope для documentation-completeness, флагать только формальные атрибуты; document_type=specification_only — спецификация по определению без расчётов/схем/ПЗ; не флагать; если стадия документа — РД-марка (а не ПД-том), пункт может быть атрибутом раздела ПД и в данной марке отсутствовать обоснованно","","",""
"KJ-07","KJ","Расчёт по I группе предельных состояний","Mandatory required calculations","КРИТИЧЕСКОЕ","full_rd","missing_calculation_basis","СП 63.13330.2018 п. 8","mandatory","full_rd","ПД","","","","high","true","КРИТИЧЕСКОЕ","","","",""
"KJ-08","KJ","Расчёт по II ГПС + продавливание","Mandatory required calculations","ЭКСПЛУАТАЦИОННОЕ","full_rd","missing_calculation_basis","СП 63.13330.2018 п. 8.1.46, 8.2","mandatory","full_rd","ПД","","","","medium","true","ЭКСПЛУАТАЦИОННОЕ","","","","Точные пункты 8.1.46 и 8.2 проверить через mcp__norms"
"KJ-09","KJ","Геотехнический расчёт оснований с привязкой к ИГИ","Mandatory required calculations","ЭКСПЛУАТАЦИОННОЕ","full_rd","missing_calculation_basis","СП 22.13330.2016","conditionally_mandatory","full_rd","ПД","Только при наличии ИГИ и при типе фундамента, требующем расчёта основания","","","medium","true","ЭКСПЛУАТАЦИОННОЕ","","","",""
